Measure Names,Month of MONTH,ROUTE_NAME,Measure Values
Route Monthly Total Boardings (accessible copy),January 2024,36 Teresita,"16,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,36 Teresita,"30,000"
Monthly Route Recovery,December 2023,36 Teresita,0.522420373
Route Monthly Total Boardings (accessible copy),December 2023,36 Teresita,"15,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,36 Teresita,"30,000"
Monthly Route Recovery,November 2023,36 Teresita,0.536980929
Route Monthly Total Boardings (accessible copy),November 2023,36 Teresita,"14,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,36 Teresita,"26,000"
Monthly Route Recovery,October 2023,36 Teresita,0.342636414
Route Monthly Total Boardings (accessible copy),October 2023,36 Teresita,"18,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,36 Teresita,"52,000"
Monthly Route Recovery,September 2023,36 Teresita,0.457642217
Route Monthly Total Boardings (accessible copy),September 2023,36 Teresita,"19,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,36 Teresita,"41,000"
Monthly Route Recovery,August 2023,36 Teresita,0.476569591
Route Monthly Total Boardings (accessible copy),August 2023,36 Teresita,"19,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,36 Teresita,"40,000"
Monthly Route Recovery,July 2023,36 Teresita,0.448709918
Route Monthly Total Boardings (accessible copy),July 2023,36 Teresita,"17,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,36 Teresita,"38,000"
Monthly Route Recovery,June 2023,36 Teresita,0.532377531
Route Monthly Total Boardings (accessible copy),June 2023,36 Teresita,"18,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,36 Teresita,"34,000"
Monthly Route Recovery,May 2023,36 Teresita,0.507052294
Route Monthly Total Boardings (accessible copy),May 2023,36 Teresita,"18,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,36 Teresita,"36,000"
Monthly Route Recovery,April 2023,36 Teresita,0.566927606
Route Monthly Total Boardings (accessible copy),April 2023,36 Teresita,"17,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,36 Teresita,"30,000"
Monthly Route Recovery,March 2023,36 Teresita,0.524283108
Route Monthly Total Boardings (accessible copy),March 2023,36 Teresita,"16,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,36 Teresita,"30,000"
Monthly Route Recovery,February 2023,36 Teresita,0.515511007
Route Monthly Total Boardings (accessible copy),February 2023,36 Teresita,"14,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,36 Teresita,"28,000"
Monthly Route Recovery,February 2024,37 Corbett,0.531872262
Route Monthly Total Boardings (accessible copy),February 2024,37 Corbett,"27,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,37 Corbett,"51,000"
Monthly Route Recovery,January 2024,37 Corbett,0.461466827
Route Monthly Total Boardings (accessible copy),January 2024,37 Corbett,"24,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,37 Corbett,"53,000"
Monthly Route Recovery,December 2023,37 Corbett,0.394206355
Route Monthly Total Boardings (accessible copy),December 2023,37 Corbett,"21,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,37 Corbett,"52,000"
Monthly Route Recovery,November 2023,37 Corbett,0.426105649
Route Monthly Total Boardings (accessible copy),November 2023,37 Corbett,"22,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,37 Corbett,"51,000"
Monthly Route Recovery,October 2023,37 Corbett,0.439635581
Route Monthly Total Boardings (accessible copy),October 2023,37 Corbett,"27,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,37 Corbett,"62,000"
Monthly Route Recovery,September 2023,37 Corbett,0.520631187
Route Monthly Total Boardings (accessible copy),September 2023,37 Corbett,"30,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,37 Corbett,"57,000"
Monthly Route Recovery,August 2023,37 Corbett,1.060702317
Route Monthly Total Boardings (accessible copy),August 2023,37 Corbett,"30,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,37 Corbett,"28,000"
Monthly Route Recovery,July 2023,37 Corbett,0.449986687
Route Monthly Total Boardings (accessible copy),July 2023,37 Corbett,"26,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,37 Corbett,"57,000"
Monthly Route Recovery,June 2023,37 Corbett,0.399788203
Route Monthly Total Boardings (accessible copy),June 2023,37 Corbett,"24,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,37 Corbett,"59,000"
Monthly Route Recovery,May 2023,37 Corbett,0.446734333
Route Monthly Total Boardings (accessible copy),May 2023,37 Corbett,"27,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,37 Corbett,"60,000"
Monthly Route Recovery,April 2023,37 Corbett,0.445778992
Route Monthly Total Boardings (accessible copy),April 2023,37 Corbett,"26,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,37 Corbett,"59,000"
Monthly Route Recovery,March 2023,37 Corbett,0.454928321
Route Monthly Total Boardings (accessible copy),March 2023,37 Corbett,"26,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,37 Corbett,"58,000"
Monthly Route Recovery,February 2023,37 Corbett,0.417315076
Route Monthly Total Boardings (accessible copy),February 2023,37 Corbett,"21,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,37 Corbett,"51,000"
Monthly Route Recovery,February 2024,38 Geary,0.826821200
Route Monthly Total Boardings (accessible copy),February 2024,38 Geary,"458,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,38 Geary,"554,000"
Monthly Route Recovery,January 2024,38 Geary,0.767103165
Route Monthly Total Boardings (accessible copy),January 2024,38 Geary,"466,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,38 Geary,"607,000"
Monthly Route Recovery,December 2023,38 Geary,0.737402674
Route Monthly Total Boardings (accessible copy),December 2023,38 Geary,"457,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,38 Geary,"619,000"
Monthly Route Recovery,November 2023,38 Geary,0.748581029
Route Monthly Total Boardings (accessible copy),November 2023,38 Geary,"466,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,38 Geary,"623,000"
Monthly Route Recovery,October 2023,38 Geary,0.758732965
Route Monthly Total Boardings (accessible copy),October 2023,38 Geary,"505,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,38 Geary,"665,000"
Monthly Route Recovery,September 2023,38 Geary,0.778187594
Route Monthly Total Boardings (accessible copy),September 2023,38 Geary,"486,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,38 Geary,"625,000"
Monthly Route Recovery,August 2023,38 Geary,0.797186023
Route Monthly Total Boardings (accessible copy),August 2023,38 Geary,"500,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,38 Geary,"627,000"
Monthly Route Recovery,July 2023,38 Geary,0.774580242
Route Monthly Total Boardings (accessible copy),July 2023,38 Geary,"469,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,38 Geary,"605,000"
Monthly Route Recovery,June 2023,38 Geary,0.756987227
Route Monthly Total Boardings (accessible copy),June 2023,38 Geary,"463,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,38 Geary,"612,000"
Monthly Route Recovery,May 2023,38 Geary,0.806331539
Route Monthly Total Boardings (accessible copy),May 2023,38 Geary,"512,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,38 Geary,"635,000"
Monthly Route Recovery,April 2023,38 Geary,0.786602017
Route Monthly Total Boardings (accessible copy),April 2023,38 Geary,"497,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,38 Geary,"632,000"
Monthly Route Recovery,March 2023,38 Geary,0.764310498
Route Monthly Total Boardings (accessible copy),March 2023,38 Geary,"479,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,38 Geary,"626,000"
Monthly Route Recovery,February 2023,38 Geary,0.784240475
Route Monthly Total Boardings (accessible copy),February 2023,38 Geary,"434,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,38 Geary,"554,000"
Monthly Route Recovery,February 2024,38R Geary Rapid,0.841468995
Route Monthly Total Boardings (accessible copy),February 2024,38R Geary Rapid,"592,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,38R Geary Rapid,"703,000"
Monthly Route Recovery,January 2024,38R Geary Rapid,0.756841158
Route Monthly Total Boardings (accessible copy),January 2024,38R Geary Rapid,"595,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,38R Geary Rapid,"787,000"
Monthly Route Recovery,December 2023,38R Geary Rapid,0.765043362
Route Monthly Total Boardings (accessible copy),December 2023,38R Geary Rapid,"577,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,38R Geary Rapid,"754,000"
Monthly Route Recovery,November 2023,38R Geary Rapid,0.745898911
Route Monthly Total Boardings (accessible copy),November 2023,38R Geary Rapid,"572,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,38R Geary Rapid,"767,000"
Monthly Route Recovery,October 2023,38R Geary Rapid,0.730560480
Route Monthly Total Boardings (accessible copy),October 2023,38R Geary Rapid,"640,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,38R Geary Rapid,"876,000"
Monthly Route Recovery,September 2023,38R Geary Rapid,0.766410041
Route Monthly Total Boardings (accessible copy),September 2023,38R Geary Rapid,"609,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,38R Geary Rapid,"795,000"
Monthly Route Recovery,August 2023,38R Geary Rapid,0.790072898
Route Monthly Total Boardings (accessible copy),August 2023,38R Geary Rapid,"628,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,38R Geary Rapid,"795,000"
Monthly Route Recovery,July 2023,38R Geary Rapid,0.717026334
Route Monthly Total Boardings (accessible copy),July 2023,38R Geary Rapid,"564,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,38R Geary Rapid,"787,000"
Monthly Route Recovery,June 2023,38R Geary Rapid,0.701421328
Route Monthly Total Boardings (accessible copy),June 2023,38R Geary Rapid,"538,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,38R Geary Rapid,"767,000"
Monthly Route Recovery,May 2023,38R Geary Rapid,0.646211260
Route Monthly Total Boardings (accessible copy),May 2023,38R Geary Rapid,"552,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,38R Geary Rapid,"854,000"
Monthly Route Recovery,April 2023,38R Geary Rapid,0.625890156
Route Monthly Total Boardings (accessible copy),April 2023,38R Geary Rapid,"537,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,38R Geary Rapid,"858,000"
Monthly Route Recovery,March 2023,38R Geary Rapid,0.650593552
Route Monthly Total Boardings (accessible copy),March 2023,38R Geary Rapid,"522,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,38R Geary Rapid,"802,000"
Monthly Route Recovery,February 2023,38R Geary Rapid,0.660459553
Route Monthly Total Boardings (accessible copy),February 2023,38R Geary Rapid,"464,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,38R Geary Rapid,"703,000"
Monthly Route Recovery,February 2024,39 Coit,0.175211183
Route Monthly Total Boardings (accessible copy),February 2024,39 Coit,"1,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,39 Coit,"8,000"
Monthly Route Recovery,January 2024,39 Coit,0.185031043
Route Monthly Total Boardings (accessible copy),January 2024,39 Coit,"2,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,39 Coit,"11,000"
Monthly Route Recovery,December 2023,39 Coit,0.142480017
Route Monthly Total Boardings (accessible copy),December 2023,39 Coit,"2,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,39 Coit,"11,000"
Monthly Route Recovery,November 2023,39 Coit,0.025500000
Route Monthly Total Boardings (accessible copy),November 2023,39 Coit,0
Baseline Route Monthly Total Boardings (accessible copy),November 2023,39 Coit,"10,000"
Monthly Route Recovery,October 2023,39 Coit,0.124429975
Route Monthly Total Boardings (accessible copy),October 2023,39 Coit,"2,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,39 Coit,"15,000"
Monthly Route Recovery,September 2023,39 Coit,0.176228193
Route Monthly Total Boardings (accessible copy),September 2023,39 Coit,"3,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,39 Coit,"15,000"
Monthly Route Recovery,August 2023,39 Coit,0.417196529
Route Monthly Total Boardings (accessible copy),August 2023,39 Coit,"7,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,39 Coit,"17,000"
Monthly Route Recovery,July 2023,39 Coit,0.574566251
Route Monthly Total Boardings (accessible copy),July 2023,39 Coit,"9,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,39 Coit,"15,000"
Monthly Route Recovery,June 2023,39 Coit,0.303679056
Route Monthly Total Boardings (accessible copy),June 2023,39 Coit,"4,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,39 Coit,"12,000"
Monthly Route Recovery,May 2023,39 Coit,0.147983360
Route Monthly Total Boardings (accessible copy),May 2023,39 Coit,"2,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,39 Coit,"13,000"
Monthly Route Recovery,April 2023,39 Coit,0.179456185
Route Monthly Total Boardings (accessible copy),April 2023,39 Coit,"3,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,39 Coit,"14,000"
Monthly Route Recovery,March 2023,39 Coit,0.161786766
Route Monthly Total Boardings (accessible copy),March 2023,39 Coit,"2,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,39 Coit,"12,000"
Monthly Route Recovery,February 2023,39 Coit,0.366360231
Route Monthly Total Boardings (accessible copy),February 2023,39 Coit,"3,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,39 Coit,"8,000"
Monthly Route Recovery,February 2024,43 Masonic,0.711286495
Route Monthly Total Boardings (accessible copy),February 2024,43 Masonic,"221,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,43 Masonic,"310,000"
Monthly Route Recovery,January 2024,43 Masonic,0.658422183
Route Monthly Total Boardings (accessible copy),January 2024,43 Masonic,"215,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,43 Masonic,"327,000"
Monthly Route Recovery,December 2023,43 Masonic,0.666602740
Route Monthly Total Boardings (accessible copy),December 2023,43 Masonic,"197,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,43 Masonic,"295,000"
Monthly Route Recovery,November 2023,43 Masonic,0.677051421
Route Monthly Total Boardings (accessible copy),November 2023,43 Masonic,"218,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,43 Masonic,"322,000"
Monthly Route Recovery,October 2023,43 Masonic,0.677308697
Route Monthly Total Boardings (accessible copy),October 2023,43 Masonic,"250,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,43 Masonic,"368,000"
Monthly Route Recovery,September 2023,43 Masonic,0.683033248
Route Monthly Total Boardings (accessible copy),September 2023,43 Masonic,"242,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,43 Masonic,"355,000"
Monthly Route Recovery,August 2023,43 Masonic,0.753931663
Route Monthly Total Boardings (accessible copy),August 2023,43 Masonic,"236,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,43 Masonic,"313,000"
Monthly Route Recovery,July 2023,43 Masonic,0.631335089
Route Monthly Total Boardings (accessible copy),July 2023,43 Masonic,"195,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,43 Masonic,"308,000"
Monthly Route Recovery,June 2023,43 Masonic,0.610012303
Route Monthly Total Boardings (accessible copy),June 2023,43 Masonic,"196,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,43 Masonic,"321,000"
Monthly Route Recovery,May 2023,43 Masonic,0.613004748
Route Monthly Total Boardings (accessible copy),May 2023,43 Masonic,"216,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,43 Masonic,"352,000"
Monthly Route Recovery,April 2023,43 Masonic,0.603143385
Route Monthly Total Boardings (accessible copy),April 2023,43 Masonic,"209,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,43 Masonic,"346,000"
Monthly Route Recovery,March 2023,43 Masonic,0.609482185
Route Monthly Total Boardings (accessible copy),March 2023,43 Masonic,"204,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,43 Masonic,"335,000"
Monthly Route Recovery,February 2023,43 Masonic,0.595328439
Route Monthly Total Boardings (accessible copy),February 2023,43 Masonic,"185,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,43 Masonic,"310,000"
Monthly Route Recovery,February 2024,44 O'Shaughnessy,0.803060802
Route Monthly Total Boardings (accessible copy),February 2024,44 O'Shaughnessy,"307,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,44 O'Shaughnessy,"382,000"
Monthly Route Recovery,January 2024,44 O'Shaughnessy,0.739919908
Route Monthly Total Boardings (accessible copy),January 2024,44 O'Shaughnessy,"311,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,44 O'Shaughnessy,"420,000"
Monthly Route Recovery,December 2023,44 O'Shaughnessy,0.790348903
Route Monthly Total Boardings (accessible copy),December 2023,44 O'Shaughnessy,"295,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,44 O'Shaughnessy,"373,000"
Monthly Route Recovery,November 2023,44 O'Shaughnessy,0.809477790
Route Monthly Total Boardings (accessible copy),November 2023,44 O'Shaughnessy,"307,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,44 O'Shaughnessy,"380,000"
Monthly Route Recovery,October 2023,44 O'Shaughnessy,0.746695904
Route Monthly Total Boardings (accessible copy),October 2023,44 O'Shaughnessy,"337,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,44 O'Shaughnessy,"451,000"
Monthly Route Recovery,September 2023,44 O'Shaughnessy,0.789572368
Route Monthly Total Boardings (accessible copy),September 2023,44 O'Shaughnessy,"327,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,44 O'Shaughnessy,"414,000"
Monthly Route Recovery,August 2023,44 O'Shaughnessy,0.724344783
Route Monthly Total Boardings (accessible copy),August 2023,44 O'Shaughnessy,"319,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,44 O'Shaughnessy,"441,000"
Monthly Route Recovery,July 2023,44 O'Shaughnessy,0.713703996
Route Monthly Total Boardings (accessible copy),July 2023,44 O'Shaughnessy,"290,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,44 O'Shaughnessy,"407,000"
Monthly Route Recovery,June 2023,44 O'Shaughnessy,0.671832140
Route Monthly Total Boardings (accessible copy),June 2023,44 O'Shaughnessy,"283,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,44 O'Shaughnessy,"421,000"
Monthly Route Recovery,May 2023,44 O'Shaughnessy,0.685965729
Route Monthly Total Boardings (accessible copy),May 2023,44 O'Shaughnessy,"301,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,44 O'Shaughnessy,"439,000"
Monthly Route Recovery,April 2023,44 O'Shaughnessy,0.684107285
Route Monthly Total Boardings (accessible copy),April 2023,44 O'Shaughnessy,"294,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,44 O'Shaughnessy,"429,000"
Monthly Route Recovery,March 2023,44 O'Shaughnessy,0.713826314
Route Monthly Total Boardings (accessible copy),March 2023,44 O'Shaughnessy,"285,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,44 O'Shaughnessy,"399,000"
Monthly Route Recovery,February 2023,44 O'Shaughnessy,0.663074297
Route Monthly Total Boardings (accessible copy),February 2023,44 O'Shaughnessy,"254,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,44 O'Shaughnessy,"382,000"
Monthly Route Recovery,February 2024,45 Union/Stockton,0.657508362
Route Monthly Total Boardings (accessible copy),February 2024,45 Union/Stockton,"220,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,45 Union/Stockton,"335,000"
Monthly Route Recovery,January 2024,45 Union/Stockton,0.748424012
Route Monthly Total Boardings (accessible copy),January 2024,45 Union/Stockton,"231,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,45 Union/Stockton,"308,000"
Monthly Route Recovery,December 2023,45 Union/Stockton,0.697372814
Route Monthly Total Boardings (accessible copy),December 2023,45 Union/Stockton,"222,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,45 Union/Stockton,"319,000"
Monthly Route Recovery,November 2023,45 Union/Stockton,0.680053425
Route Monthly Total Boardings (accessible copy),November 2023,45 Union/Stockton,"211,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,45 Union/Stockton,"310,000"
Monthly Route Recovery,October 2023,45 Union/Stockton,0.775831836
Route Monthly Total Boardings (accessible copy),October 2023,45 Union/Stockton,"256,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,45 Union/Stockton,"329,000"
Monthly Route Recovery,September 2023,45 Union/Stockton,0.770134913
Route Monthly Total Boardings (accessible copy),September 2023,45 Union/Stockton,"248,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,45 Union/Stockton,"322,000"
Monthly Route Recovery,August 2023,45 Union/Stockton,0.787957542
Route Monthly Total Boardings (accessible copy),August 2023,45 Union/Stockton,"261,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,45 Union/Stockton,"331,000"
Monthly Route Recovery,July 2023,45 Union/Stockton,0.766912326
Route Monthly Total Boardings (accessible copy),July 2023,45 Union/Stockton,"240,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,45 Union/Stockton,"314,000"
Monthly Route Recovery,June 2023,45 Union/Stockton,0.738140635
Route Monthly Total Boardings (accessible copy),June 2023,45 Union/Stockton,"234,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,45 Union/Stockton,"317,000"
Monthly Route Recovery,May 2023,45 Union/Stockton,0.775393614
Route Monthly Total Boardings (accessible copy),May 2023,45 Union/Stockton,"238,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,45 Union/Stockton,"307,000"
Monthly Route Recovery,April 2023,45 Union/Stockton,0.788881225
Route Monthly Total Boardings (accessible copy),April 2023,45 Union/Stockton,"229,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,45 Union/Stockton,"290,000"
Monthly Route Recovery,March 2023,45 Union/Stockton,0.683822095
Route Monthly Total Boardings (accessible copy),March 2023,45 Union/Stockton,"218,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,45 Union/Stockton,"319,000"
Monthly Route Recovery,February 2023,45 Union/Stockton,0.576692455
Route Monthly Total Boardings (accessible copy),February 2023,45 Union/Stockton,"193,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,45 Union/Stockton,"335,000"
Monthly Route Recovery,February 2024,48 Quintara/24th Street,1.012098541
Route Monthly Total Boardings (accessible copy),February 2024,48 Quintara/24th Street,"188,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,48 Quintara/24th Street,"186,000"
Monthly Route Recovery,January 2024,48 Quintara/24th Street,0.961356864
Route Monthly Total Boardings (accessible copy),January 2024,48 Quintara/24th Street,"187,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,48 Quintara/24th Street,"195,000"
Monthly Route Recovery,December 2023,48 Quintara/24th Street,0.964939938
Route Monthly Total Boardings (accessible copy),December 2023,48 Quintara/24th Street,"171,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,48 Quintara/24th Street,"177,000"
Monthly Route Recovery,November 2023,48 Quintara/24th Street,0.960063545
Route Monthly Total Boardings (accessible copy),November 2023,48 Quintara/24th Street,"181,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,48 Quintara/24th Street,"189,000"
Monthly Route Recovery,October 2023,48 Quintara/24th Street,0.938454616
Route Monthly Total Boardings (accessible copy),October 2023,48 Quintara/24th Street,"210,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,48 Quintara/24th Street,"224,000"
Monthly Route Recovery,September 2023,48 Quintara/24th Street,0.951705335
Route Monthly Total Boardings (accessible copy),September 2023,48 Quintara/24th Street,"198,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,48 Quintara/24th Street,"208,000"
Monthly Route Recovery,August 2023,48 Quintara/24th Street,1.043083930
Route Monthly Total Boardings (accessible copy),August 2023,48 Quintara/24th Street,"191,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,48 Quintara/24th Street,"183,000"
Monthly Route Recovery,July 2023,48 Quintara/24th Street,0.829109751
Route Monthly Total Boardings (accessible copy),July 2023,48 Quintara/24th Street,"157,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,48 Quintara/24th Street,"190,000"
Monthly Route Recovery,June 2023,48 Quintara/24th Street,0.880744323
Route Monthly Total Boardings (accessible copy),June 2023,48 Quintara/24th Street,"163,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,48 Quintara/24th Street,"185,000"
Monthly Route Recovery,May 2023,48 Quintara/24th Street,0.884369983
Route Monthly Total Boardings (accessible copy),May 2023,48 Quintara/24th Street,"190,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,48 Quintara/24th Street,"215,000"
Monthly Route Recovery,April 2023,48 Quintara/24th Street,0.877136456
Route Monthly Total Boardings (accessible copy),April 2023,48 Quintara/24th Street,"185,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,48 Quintara/24th Street,"210,000"
Monthly Route Recovery,March 2023,48 Quintara/24th Street,0.984796695
Route Monthly Total Boardings (accessible copy),March 2023,48 Quintara/24th Street,"187,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,48 Quintara/24th Street,"190,000"
Monthly Route Recovery,February 2023,48 Quintara/24th Street,0.903590800
Route Monthly Total Boardings (accessible copy),February 2023,48 Quintara/24th Street,"168,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,48 Quintara/24th Street,"186,000"
Monthly Route Recovery,February 2024,49 Van Ness/Mission,1.427585974
Route Monthly Total Boardings (accessible copy),February 2024,49 Van Ness/Mission,"864,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,49 Van Ness/Mission,"606,000"
Monthly Route Recovery,January 2024,49 Van Ness/Mission,1.323225409
Route Monthly Total Boardings (accessible copy),January 2024,49 Van Ness/Mission,"861,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,49 Van Ness/Mission,"651,000"
Monthly Route Recovery,December 2023,49 Van Ness/Mission,1.325844240
Route Monthly Total Boardings (accessible copy),December 2023,49 Van Ness/Mission,"829,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,49 Van Ness/Mission,"625,000"
Monthly Route Recovery,November 2023,49 Van Ness/Mission,1.354647893
Route Monthly Total Boardings (accessible copy),November 2023,49 Van Ness/Mission,"865,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,49 Van Ness/Mission,"638,000"
Monthly Route Recovery,October 2023,49 Van Ness/Mission,1.290692120
Route Monthly Total Boardings (accessible copy),October 2023,49 Van Ness/Mission,"935,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,49 Van Ness/Mission,"725,000"
Monthly Route Recovery,September 2023,49 Van Ness/Mission,1.316789211
Route Monthly Total Boardings (accessible copy),September 2023,49 Van Ness/Mission,"892,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,49 Van Ness/Mission,"677,000"
Monthly Route Recovery,August 2023,49 Van Ness/Mission,1.419173662
Route Monthly Total Boardings (accessible copy),August 2023,49 Van Ness/Mission,"887,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,49 Van Ness/Mission,"625,000"
Monthly Route Recovery,July 2023,49 Van Ness/Mission,1.272286469
Route Monthly Total Boardings (accessible copy),July 2023,49 Van Ness/Mission,"822,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,49 Van Ness/Mission,"646,000"
Monthly Route Recovery,June 2023,49 Van Ness/Mission,1.253190669
